,video_id,channelTitle,title,description,publishedAt,tags,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,tagCount,durationSecs
0,0lTEwPuZZd0,Guy Skills,WHY I DONT WANNA WEAR SHOES ON STAGE,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-03-10T10:01:35Z,"['jk tamil', 'manichow', 'plip plip', 'a2d', 'tamil vlogs', 'tamil vlogger']",8880,1072,0,89,PT6M9S,hd,false,True,6,369
1,rSlgSDBNMzU,Guy Skills,"ARRANGED MARRIAGES ARE SCARY, WHAT IF....","Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-03-07T16:00:07Z,,29135,2763,0,173,PT15M5S,hd,false,True,0,905
2,ERAN9sUELDM,Guy Skills,GS Vlogs | WE HAD A FIGHT ...,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-03-03T09:10:35Z,"['vlogs', 'tamil vlogs', 'tamil vloggers', 'tamil vlog channels', 'short vlogs', 'logan paul', 'jk tamil', 'manichow']",17037,1854,0,102,PT6M52S,hd,false,True,8,412
3,tqyRBvZVfNg,Guy Skills,TOXIC PARENTING IS BEAUTIFUL,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-02-29T16:08:43Z,"['jk tamil', 'plip plip', 'a2d', 'manichow', 'Toxic parenting', 'Toxic parenting in tamil']",46962,4525,0,203,PT16M5S,hd,false,True,6,965
4,uEo76ieLE_g,Guy Skills,"Po po po, poi thola.","Subscribe to Guyskills for more🤍.
.
.
.
.
.
.
.
.
.
.
This content is only for matured audience. Any form of offense or hate, kindly reach out to me.

Disclaimer: The dark humor content shared on this page is intended purely for comedic purposes. It does not reflect my personal beliefs or opinions, and I do not endorse or condone any form of harmful behavior, including body stereotyping or any actions that may cause distress or harm to others. Dark humor should be taken with a grain of salt, understanding that its purpose is to provoke thought and laughter in unconventional ways. It is essential to separate the content from reality and remember that the jokes made here are purely fictional and should not be taken seriously. If any content offends you or causes discomfort, please feel free to unfollow or reach out to me directly. Thank you for your understanding..",2024-02-25T12:24:12Z,,31592,3965,0,13,PT30S,hd,false,True,0,30
5,S_9a0LdguEA,Guy Skills,GS Vlog 25 | THAT ONE GUY IN EVERY GANG...,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-02-25T09:30:09Z,"['vlogs', 'tamil vlogs', 'tamil vloggers', 'guyskills vlogs', 'guyskills', 'logan paul']",8522,905,0,43,PT5M17S,hd,false,True,6,317
6,xk8Q_pKzSW0,Guy Skills,SONGS THAT YOU NEED TO LISTEN BEFORE YOU....|TT-09,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-02-22T16:00:08Z,"['guyskills', 'jk tamil', 'plip plip', 'manichow']",10775,1361,0,64,PT5M35S,hd,false,True,4,335
7,URWpIhl1LDk,Guy Skills,Po poi paru pa🫡.,"Subscribe to Guyskills for more🤍.
.
.
.
.
.
.
.
.
.
.
This content is only for matured audience. Any form of offense or hate, kindly reach out to me.

Disclaimer: The dark humor content shared on this page is intended purely for comedic purposes. It does not reflect my personal beliefs or opinions, and I do not endorse or condone any form of harmful behavior, including body stereotyping or any actions that may cause distress or harm to others. Dark humor should be taken with a grain of salt, understanding that its purpose is to provoke thought and laughter in unconventional ways. It is essential to separate the content from reality and remember that the jokes made here are purely fictional and should not be taken seriously. If any content offends you or causes discomfort, please feel free to unfollow or reach out to me directly. Thank you for your understanding.",2024-02-20T06:40:24Z,,26188,3281,0,19,PT32S,hd,false,True,0,32
8,fcQqq6YXkXw,Guy Skills,THE REASON WHY I JOINED MMA! (PERSONAL) | GuySkills Vlogs,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-02-18T09:00:46Z,"['tamil vlogs', 'logan paul vlogs', 'tamil vloggers', 'guyskills vlogs', 'guyskills']",7817,0,0,0,PT8M33S,hd,false,True,5,513
9,0wh3jAGIr2w,Guy Skills,Bro konjo nero summa iru bro🫠.,"Subscribe to Guyskills for more🤍.
.
.
.
.
.
.
.
.
.
.
This content is only for matured audience. Any form of offense or hate, kindly reach out to me.

Disclaimer: The dark humor content shared on this page is intended purely for comedic purposes. It does not reflect my personal beliefs or opinions, and I do not endorse or condone any form of harmful behavior, including body stereotyping or any actions that may cause distress or harm to others. Dark humor should be taken with a grain of salt, understanding that its purpose is to provoke thought and laughter in unconventional ways. It is essential to separate the content from reality and remember that the jokes made here are purely fictional and should not be taken seriously. If any content offends you or causes discomfort, please feel free to unfollow or reach out to me directly. Thank you for your understanding.",2024-02-17T14:42:51Z,,42206,4035,0,13,PT14S,hd,false,True,0,14
