,video_id,channelTitle,title,description,publishedAt,tags,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,publishedDayName,durationSecs,tagCount
0,veg9tl7Vtss,Guy Skills,தமிழா தமிழா Men 🗿 | Thursday Tharkuris | Guyskills,"Insta SENCES: https://www.instagram.com/sences_az/profilecard/?igsh=eXBoeTVpcTE0aWFr

Why waste time on description when you can watch the video?
#thursdaytharkuris #guyskills #தமிழாதமிழா #tamizhatamizha #aurorasinclair
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-12-12 15:15:06+00:00,"['thursday tharkuris', 'reels reactions', 'guyskills', 'guyskills thursday tharkuris', 'tamizha tamizha', 'thursday tharkuris guyskills', 'aurora sinclair']",57723.0,5101.0,0.0,263.0,PT14M33S,hd,false,True,Thursday,873,7
1,7UwD70Ec_3E,Guy Skills,ANNOUNCEMENT Part - 1 🫡,"Why waste time on description when you can watch the video?
#Entertainment #Vlogs #Challenges
__________________________________________
Guyskills is an entertainment channel, Subscribe and join the fun.
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-12-05 15:22:21+00:00,,6768.0,588.0,0.0,26.0,PT19M56S,hd,false,False,Thursday,1196,0
2,yL4DW03o6zI,Guy Skills,மூடநம்பிக்கை Reels Reaction | Thursday Tharkuris | Guyskills,"Why waste time on description when you can watch the video?
#reelsreactionvideo #guyskills #thursdaytharkuris #ajbhairavroast

DISCLAIMER: 
This video contains reaction to videos that are backwards and criticises ideologically. There is no personal hate towards any person in this video and only has an ideological approach towards all the reels.  

The hate is towards their content and not them personally
 __________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-11-28 15:30:06+00:00,"['guyskills', 'thursday tharkuris', 'thursday tharkuris guyskills', 'reels reaction tamil', 'jk tamil', 'yeah tube', 'guyskills tts', 'guyskills thursday tharkuris', 'ajbhairav roast tamil', 'ajbhairav troll tamil', 'ajbhairav roast']",52084.0,4276.0,0.0,280.0,PT16M52S,hd,false,True,Thursday,1012,11
3,4q2kZNO2KL8,Guy Skills,Feminism Troll Reaction | Guyskills | Thursday Tharkuris,"Why waste time on description when you can watch the video?
#feminism #thursdaytharkuris #guyskills 
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-11-21 15:30:06+00:00,"['feminism', 'feminism tamil', 'guyskills', 'thursday tharkuris', 'guyskills thursday tharkuris', 'feminism troll reaction', 'feminism reaction', 'feminism tamil troll', 'yeah tube', 'jk tamil', 'feminism tamil reaction']",52559.0,4499.0,0.0,262.0,PT13M26S,hd,false,True,Thursday,806,11
4,n7gPKsWrOTs,Guy Skills,Nenjumudi Paasapinaipu Ep - 4 | Funniest QnA | Guyskills,"Why waste time on description when you can watch the video?
#nenjumudipaasapinaipu #guyskills #tts #thursdaytharkuris 
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-11-17 12:00:06+00:00,"['guyskills', 'nenjumudi paasapinaipu', 'thursday tharkuris', 'guyskills water tank', 'guyskills tts', 'yeah tube', 'jk tamil']",24619.0,2330.0,0.0,113.0,PT11M53S,hd,false,True,Sunday,713,7
5,neZqc84iFd8,Guy Skills,You Too Thala? 😭 | Influence | Thursday Tharkuris | Guyskills,"Why waste time on description when you can watch the video?
#guyskills #thursdaytharkuris #guyskillstts
__________________________________________
follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-11-07 15:30:06+00:00,"['guyskills', 'guyskills thursday tharkuris', 'guyskills tts', 'thursday tharkuris', 'jk tamil', 'plip plip']",14014.0,1202.0,0.0,72.0,PT7M20S,hd,false,True,Thursday,440,6
6,g6YcmogIkcU,Guy Skills,Bad Influence | Thursday Tharkuris | Guyskills,"Why waste time on description when you can watch the video?
#guyskills #thursdaytharkuris #guyskillstts
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-10-31 15:30:06+00:00,"['guyskills', 'thursday tharkuris', 'guyskills thursday tharkuris', 'guyskills tts']",22588.0,2093.0,0.0,80.0,PT10M39S,hd,false,True,Thursday,639,4
7,4umd3A7nmPg,Guy Skills,Single Parent Problems | Thursday Tharkuris | Guyskills,"Why waste time on description when you can watch the video?
#guyskills #thursdaytharkuris #guyskillstts
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-10-24 15:30:06+00:00,"['guyskills', 'thursday tharkuris', 'guyskills tts', 'guyskills thursday tharkuris', 'thursday tharkuris guyskills', 'single parent problems', 'single parent tamil']",14799.0,1357.0,0.0,73.0,PT12M48S,hd,false,True,Thursday,768,7
8,nEA99_1nP5g,Guy Skills,Let's Create a Rel*gion | Thursday Tharkuris | Guyskills,"Why waste time on description when you can watch the video?
#guyskillsthursdaytharkuris #thursdaytharkuris #guyskills #tts 
___________________________________________
 follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-10-17 15:30:07+00:00,"['guyskills', 'thursday tharkuris', 'guyskills thursday tharkuris', 'guyskills tts', 'tts', 'feminism tamil', 'plip plip roast']",16701.0,1531.0,0.0,96.0,PT13M17S,hd,false,True,Thursday,797,7
9,jy6ry2IiXfc,Guy Skills,Nenjumudi பாசப்பிணைப்பு Ep - 3 | Toxic Parents | Guyskills,"Why waste time on description when you can watch the video?
#Nenjumudi  #thursdaytharkuris   #guyskills 
__________________________________________
follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-10-13 12:00:06+00:00,"['guyskills', 'toxic parenting tamil', 'toxic parents tamil', 'thursday tharkuris', 'guyskills thursday tharkuris', 'nenjumudi paasapinaipu', 'nenjumudi', 'thursday tharkuris guyskills', 'tts', 'guyskills tts', 'jk tamil', 'yeah tube', 'plip plip', 'a2d', 'manichow']",19079.0,1960.0,0.0,127.0,PT13M27S,hd,false,True,Sunday,807,15
10,x7caGferNZY,Guy Skills,Nenjumudi பாசப்பிணைப்பு 🫂✨ Day 2  Guyskills,"Why waste time on description when you can watch the video?
#guyskills #nenjumudipaasapinaipu #paasapinaipu #பாசப்பிணைப்பு
__________________________________________
follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-09-29 12:00:26+00:00,"['guyskills', 'guyskills paasapinaipu', 'nenjumudi paasapinaipu', 'Nenjumudi பாசப்பிணைப்பு', 'thursday tharkuris', 'guyskills tts', 'guyskills thursday tharkuris', 'water tank', 'Guyskills water tank']",20179.0,2014.0,0.0,114.0,PT17M15S,hd,false,True,Sunday,1035,9
11,GSpD943F5Lo,Guy Skills,"No Reservat*on, No Cas*e | Guyskills | Thursday Tharkuris","Why waste time on description when you can watch the video?
#guyskills #thursdaytharkuris  #guyskillsthursdaytharkuris
__________________________________________
follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-09-26 15:30:10+00:00,"['guyskills', 'reservation', 'thursday tharkuris', 'guyskills thursday tharkuris', 'guyskills tts', 'tts']",19946.0,2050.0,0.0,140.0,PT8M2S,hd,false,True,Thursday,482,6
12,4AjCJpddnRg,Guy Skills,மதம் In Schools🙏 | Guyskills | Thursday Tharkuris,"SKILL DEFICIENCY CHANNEL:
https://youtube.com/@GuyskillsSD?si=p8S8Tkzf-bHXNtUB

Why waste time on description when you can watch the video?
#guyskills #thursdaytharkuris  #guyskillsthursdaytharkuris 
_____________________________________________________________ 
follow us:
instagram:
https://www.instagram.com/guyskills.mp4/

subscribe with love:
https://www.youtube.com/channel/UCH_h...
___________________________________________",2024-09-19 15:30:31+00:00,"['guyskils', 'thursday tharkuris', 'guyskills thursday tharkuris', 'mahavishnu issue', 'paramporul foundation issue', 'maha vishnu', 'maha vishnu school speech']",28568.0,2694.0,0.0,136.0,PT13M51S,hd,false,True,Thursday,831,7
